序号,角色名,稀有度,配件1,配件2,属性,名称,图标,长图,横图
0,"沈星回",4,"绿珥","月晖","生命","漫航悸遇","https://patchwiki.biligame.com/images/lysk/thumb/e/ea/phhfomfc806758eyt5d3l7gl4ldevca.png/50px-%E6%80%9D%E5%BF%B5%E5%9B%BE%E6%A0%87-%E6%BC%AB%E8%88%AA%E6%82%B8%E9%81%87.png","https://patchwiki.biligame.com/images/lysk/thumb/0/0a/swvfy196qm0s80t4fbolu3ajcitk2tr.png/60px-%E6%80%9D%E5%BF%B5%E9%95%BF%E5%9B%BE-%E6%BC%AB%E8%88%AA%E6%82%B8%E9%81%87.png","https://patchwiki.biligame.com/images/lysk/thumb/d/d2/atpzxawsuzshuvbdwb3dme29908n9dt.png/120px-%E6%80%9D%E5%BF%B5%E6%A8%AA%E5%9B%BE-%E6%BC%AB%E8%88%AA%E6%82%B8%E9%81%87.png"
0,"祁煜",4,"蓝弧","月晖","生命","宴色如焚","https://patchwiki.biligame.com/images/lysk/thumb/3/33/dn28ojq5r6hhor0en418j0ikn93j5xc.png/50px-%E6%80%9D%E5%BF%B5%E5%9B%BE%E6%A0%87-%E5%AE%B4%E8%89%B2%E5%A6%82%E7%84%9A.png","https://patchwiki.biligame.com/images/lysk/thumb/b/bc/raeob5kqvywxo6a75lm1wx8hcfb16ie.png/60px-%E6%80%9D%E5%BF%B5%E9%95%BF%E5%9B%BE-%E5%AE%B4%E8%89%B2%E5%A6%82%E7%84%9A.png","https://patchwiki.biligame.com/images/lysk/thumb/6/6d/29qaahqj2n42xuy24mdgolpanettn4m.png/120px-%E6%80%9D%E5%BF%B5%E6%A8%AA%E5%9B%BE-%E5%AE%B4%E8%89%B2%E5%A6%82%E7%84%9A.png"
0,"秦彻",4,"红漪","月晖","生命","坠空博弈","https://patchwiki.biligame.com/images/lysk/thumb/2/2d/1zpreqf6zf68tqvpt4yjyaije905prt.png/50px-%E6%80%9D%E5%BF%B5%E5%9B%BE%E6%A0%87-%E5%9D%A0%E7%A9%BA%E5%8D%9A%E5%BC%88.png","https://patchwiki.biligame.com/images/lysk/thumb/e/e6/cawcfijt03mgoi4snkm0cqnctnwoj6b.png/60px-%E6%80%9D%E5%BF%B5%E9%95%BF%E5%9B%BE-%E5%9D%A0%E7%A9%BA%E5%8D%9A%E5%BC%88.png","https://patchwiki.biligame.com/images/lysk/thumb/8/83/diq2qqqlpu51vcgh00a8odyo0fktiug.png/120px-%E6%80%9D%E5%BF%B5%E6%A8%AA%E5%9B%BE-%E5%9D%A0%E7%A9%BA%E5%8D%9A%E5%BC%88.png"
0,"夏以昼",5,"红漪","月晖","防御","浮花以载","https://patchwiki.biligame.com/images/lysk/thumb/8/89/lpacy5xrzxonb3nasqpv4dk78app6d4.png/50px-%E6%80%9D%E5%BF%B5%E5%9B%BE%E6%A0%87-%E6%B5%AE%E8%8A%B1%E4%BB%A5%E8%BD%BD.png","https://patchwiki.biligame.com/images/lysk/thumb/6/65/pvea1olklkmpw82qc94caqr2ye7igmi.png/60px-%E6%80%9D%E5%BF%B5%E9%95%BF%E5%9B%BE-%E6%B5%AE%E8%8A%B1%E4%BB%A5%E8%BD%BD.png","https://patchwiki.biligame.com/images/lysk/thumb/7/7c/0c17und2dg0w7y9c7nnrev3uf7cvxc7.jpg/80px-%E6%80%9D%E5%BF%B5%E5%AE%A3%E4%BC%A0%E5%9B%BE-%E6%B5%AE%E8%8A%B1%E4%BB%A5%E8%BD%BD.jpg"
0,"沈星回",5,"蓝弧","月晖","攻击","夕花显影","https://patchwiki.biligame.com/images/lysk/thumb/9/9f/htqv60fi5kaz40dbumu081t2kb69f2w.png/50px-%E6%80%9D%E5%BF%B5%E5%9B%BE%E6%A0%87-%E5%A4%95%E8%8A%B1%E6%98%BE%E5%BD%B1.png","https://patchwiki.biligame.com/images/lysk/thumb/b/bc/4nhmx8h9nxtiissyvwsyrzbcw57kxve.png/60px-%E6%80%9D%E5%BF%B5%E9%95%BF%E5%9B%BE-%E5%A4%95%E8%8A%B1%E6%98%BE%E5%BD%B1.png","https://patchwiki.biligame.com/images/lysk/thumb/0/0b/n04iwg3gyf532t3v9vwg5x5f4m4j3dn.jpg/80px-%E6%80%9D%E5%BF%B5%E5%AE%A3%E4%BC%A0%E5%9B%BE-%E5%A4%95%E8%8A%B1%E6%98%BE%E5%BD%B1.jpg"
0,"祁煜",5,"蓝弧","月晖","攻击","盈盈摇曳","https://patchwiki.biligame.com/images/lysk/thumb/f/f2/9i1m04hr2honme2rid630olb4yru9h5.png/50px-%E6%80%9D%E5%BF%B5%E5%9B%BE%E6%A0%87-%E7%9B%88%E7%9B%88%E6%91%87%E6%9B%B3.png","https://patchwiki.biligame.com/images/lysk/thumb/1/1b/pm8tfkuqbshl3slzno9o7cc26hmpca0.png/60px-%E6%80%9D%E5%BF%B5%E9%95%BF%E5%9B%BE-%E7%9B%88%E7%9B%88%E6%91%87%E6%9B%B3.png","https://patchwiki.biligame.com/images/lysk/thumb/a/ab/t3wdez8e3dkwe90ged08nvgzyz16v86.jpg/80px-%E6%80%9D%E5%BF%B5%E5%AE%A3%E4%BC%A0%E5%9B%BE-%E7%9B%88%E7%9B%88%E6%91%87%E6%9B%B3.jpg"
0,"秦彻",5,"黄璃","月晖","生命","花漫谷间","https://patchwiki.biligame.com/images/lysk/thumb/1/1d/7tp15emslzkq5ifz2xqo2hxw69q9wbv.png/50px-%E6%80%9D%E5%BF%B5%E5%9B%BE%E6%A0%87-%E8%8A%B1%E6%BC%AB%E8%B0%B7%E9%97%B4.png","https://patchwiki.biligame.com/images/lysk/thumb/9/95/o7kiw21l6ho825zf57dmpb194me6q4u.png/60px-%E6%80%9D%E5%BF%B5%E9%95%BF%E5%9B%BE-%E8%8A%B1%E6%BC%AB%E8%B0%B7%E9%97%B4.png","https://patchwiki.biligame.com/images/lysk/thumb/a/a9/4j9vyazf0kkygx0phvfs2mlv273gstd.jpg/80px-%E6%80%9D%E5%BF%B5%E5%AE%A3%E4%BC%A0%E5%9B%BE-%E8%8A%B1%E6%BC%AB%E8%B0%B7%E9%97%B4.jpg"
0,"黎深",5,"绿珥","月晖","攻击","馥郁圈占","https://patchwiki.biligame.com/images/lysk/thumb/b/b8/7gra23283ijz462gx1v73laedm9nbyr.png/50px-%E6%80%9D%E5%BF%B5%E5%9B%BE%E6%A0%87-%E9%A6%A5%E9%83%81%E5%9C%88%E5%8D%A0.png","https://patchwiki.biligame.com/images/lysk/thumb/7/79/nyywhytjvtoev8ivzvvjqfew13jgdmz.png/60px-%E6%80%9D%E5%BF%B5%E9%95%BF%E5%9B%BE-%E9%A6%A5%E9%83%81%E5%9C%88%E5%8D%A0.png","https://patchwiki.biligame.com/images/lysk/thumb/b/b2/npg5v2ytfjnii8o4fuwet39i0bxtwz9.jpg/80px-%E6%80%9D%E5%BF%B5%E5%AE%A3%E4%BC%A0%E5%9B%BE-%E9%A6%A5%E9%83%81%E5%9C%88%E5%8D%A0.jpg"
0,"秦彻",5,"紫辉","月晖","生命","至心栖之处","https://patchwiki.biligame.com/images/lysk/thumb/6/66/8lrcb806rrlm9sy4y2coina2nrrpo0t.png/50px-%E6%80%9D%E5%BF%B5%E5%9B%BE%E6%A0%87-%E8%87%B3%E5%BF%83%E6%A0%96%E4%B9%8B%E5%A4%84.png","https://patchwiki.biligame.com/images/lysk/thumb/9/94/k5wjxkvngew4b2epc6wwo37pvwn874g.png/60px-%E6%80%9D%E5%BF%B5%E9%95%BF%E5%9B%BE-%E8%87%B3%E5%BF%83%E6%A0%96%E4%B9%8B%E5%A4%84.png","https://patchwiki.biligame.com/images/lysk/thumb/6/67/2sxs9nq6li7htqkna9of66l1j6s0z2r.jpg/80px-%E6%80%9D%E5%BF%B5%E5%AE%A3%E4%BC%A0%E5%9B%BE-%E8%87%B3%E5%BF%83%E6%A0%96%E4%B9%8B%E5%A4%84.jpg"
0,"秦彻",3,"红漪","月晖","防御","持礼应约","https://patchwiki.biligame.com/images/lysk/thumb/7/77/hm7um1aprmvw93v3ijmnprlxnqfon3o.png/50px-%E6%80%9D%E5%BF%B5%E5%9B%BE%E6%A0%87-%E6%8C%81%E7%A4%BC%E5%BA%94%E7%BA%A6.png","https://patchwiki.biligame.com/images/lysk/thumb/8/8f/6bxd09vqzncjlveln41ss3sjbjm4zzy.png/60px-%E6%80%9D%E5%BF%B5%E9%95%BF%E5%9B%BE-%E6%8C%81%E7%A4%BC%E5%BA%94%E7%BA%A6.png",""
0,"秦彻",4,"黄璃","月晖","攻击","喧嚣时速","https://patchwiki.biligame.com/images/lysk/thumb/d/d7/iwlzc3qk01n76f45wnd78afwmrmqm0c.png/50px-%E6%80%9D%E5%BF%B5%E5%9B%BE%E6%A0%87-%E5%96%A7%E5%9A%A3%E6%97%B6%E9%80%9F.png","https://patchwiki.biligame.com/images/lysk/thumb/b/bc/cjo4eu2c2y71xs322a4dqqy5k5bkc28.png/60px-%E6%80%9D%E5%BF%B5%E9%95%BF%E5%9B%BE-%E5%96%A7%E5%9A%A3%E6%97%B6%E9%80%9F.png",""
